,car_name,sub_name,quentity
0,S90,2.0 D4,597
1,S90,2.0 T5,493
2,S90,2.0 D5 AWD,452
3,S90,2.0 D5 AWD,452
4,S60,2.0 D3,785
5,S60,2.0 D4,361
6,S60,2.0 T5,154
7,S60,2.0 Polestar,17
8,S60,2.0 D5,1
9,S60,2.0 D5,1
10,XC90,2.0 D5 AWD,755
11,XC90,2.0 T6 AWD,383
12,XC90,2.0 T8 AWD,81
13,XC90,2.0 T8 AWD,81
14,XC60,2.0 D4,533
15,XC60,2.0 D3,513
16,XC60,2.4 D5,138
17,XC60,T6 AWD,2
18,XC60,T6 AWD,2
19,XC60,2.0 D4 AWD,483
20,XC60,2.0 T6 AWD,113
21,XC60,2.0 T8 AWD,1
22,XC60,2.0 T8 AWD,1
23,V40,2.0 D3,471
24,V40,2.0 D4,59
25,V40,2.0 T5,40
26,V40,2.0 T5,40
27,V60 Cross Country,2.0 D4,257
28,V60 Cross Country,2.4 D4 AWD,64
29,V60 Cross Country,2.5 T5 AWD,63
30,V60 Cross Country,2.5 T5 AWD,63
31,V90 Cross Country,2.0 D5 AWD,356
32,V90 Cross Country,2.0 D5 AWD,356
33,V60,2.0 D3,133
34,V60,2.0 D4,25
35,V60,2.0 Polestar,12
36,V60,2.0 Polestar,12
37,V40 Cross Country,2.0 D3,76
38,V40 Cross Country,2.0 D4,25
39,V40 Cross Country,2.0 D4,25
40,S60 Cross Country,2.0 D4,8
41,S60 Cross Country,2.4 D4 AWD,2
42,S60 Cross Country,2.4 D4 AWD,2
