,car_name,sub_name,quentity
0,5 Series,520d,"10,249"
1,5 Series,520d xDrive,"5,712"
2,5 Series,530i xDrive,"4,690"
3,5 Series,530i,"4,560"
4,5 Series,530d,569
5,5 Series,530d xDrive,123
6,5 Series,540i xDrive,65
7,5 Series,540i xDrive,65
8,3 Series,320d,"6,027"
9,3 Series,320i,"2,360"
10,3 Series,320d Gran Turismo,"1,877"
11,3 Series,320d xDrive Gran Turismo,946
12,3 Series,330i,807
13,3 Series,320d xDrive,343
14,3 Series,320d ED,189
15,3 Series,320d Touring,53
16,3 Series,328,3
17,3 Series,328,3
18,1 Series,118d,"3,863"
19,1 Series,118d,"3,863"
20,7 Series,730Ld xDrive,"1,056"
21,7 Series,740Li xDrive,759
22,7 Series,750Li xDrive,637
23,7 Series,730d xDrive,419
24,7 Series,740d xDrive,298
25,7 Series,740Ld xDrive,230
26,7 Series,740i,1
27,7 Series,750i xDrive,1
28,7 Series,750i xDrive,1
29,X5,30d,"2,747"
30,X5,40d,337
31,X5,M50d,193
32,X5,40e,33
33,X5,40e,33
34,X6,30d,"2,223"
35,X6,40d,173
36,X6,M50d,171
37,X6,M,20
38,X6,M,20
39,Gran Turismo,GT ED,"1,561"
40,Gran Turismo,GT 3.0d xDrive,592
41,Gran Turismo,GT 630d xDrive,199
42,Gran Turismo,GT 640i xDrive,149
43,Gran Turismo,GT 35i xDrive,61
44,Gran Turismo,GT 3.0d,2
45,Gran Turismo,GT 3.0d,2
46,4 Series,428i Convertible,468
47,4 Series,420d Gran Coupe,279
48,4 Series,420d xDrive Gran Coupe,272
49,4 Series,420i Gran Coupe,246
50,4 Series,420d Coupe,168
51,4 Series,428i Coupe,129
52,4 Series,420d xDrive Coupe,115
53,4 Series,435d xDrive Gran Coupe,19
54,4 Series,420i Coupe,10
55,4 Series,420i Coupe,10
56,X3,2.0d,"1,455"
57,X3,3.0d,28
58,X3,3.0d,28
59,X4,20d,"1,427"
60,X4,20d,"1,427"
61,X1,18d,"1,034"
62,X1,20d,248
63,X1,20d,248
64,4 Series,420i Gran Coupe,243
65,4 Series,430i Convertible,185
66,4 Series,420d Gran Coupe,176
67,4 Series,420i Coupe,120
68,4 Series,420d xDrive Gran Coupe,103
69,4 Series,420d Coupe,80
70,4 Series,430i Coupe,46
71,4 Series,435d xDrive Gran Coupe,27
72,4 Series,435d xDrive Gran Coupe,27
73,2 Series Active Tourer,Active Tourer,950
74,2 Series Active Tourer,Active Tourer,950
75,M,M2,254
76,M,M3,162
77,M,M4 Coupe,143
78,M,M760Li xDrive,108
79,M,M4 Convertible,103
80,M,M5,101
81,M,M 550d xDrive,45
82,M,M6 Gran Coupe,4
83,M,M6 Coupe,4
84,M,M6 Coupe,4
85,5 Series,520d,289
86,5 Series,520d xDrive,217
87,5 Series,530d xDrive,199
88,5 Series,528i xDrive,56
89,5 Series,528i,49
90,5 Series,528i,49
91,6 Series,640d Gran Coupe xDrive,478
92,6 Series,650i Convertible,8
93,6 Series,650i Convertible,8
94,X3,20d,320
95,X3,30d,43
96,X3,30d,43
97,i3,EV,193
98,i3,EV,193
99,i8,1.5,123
100,i8,1.5,123
101,Z4,3.5 S,3
102,Z4, 2.8,2
103,Z4, 2.8,2
