,car_name,sub_name,quentity
0,A6,45 TFSI,"1,675"
1,A6,45 TFSI quattro,"1,553"
2,A6,40 TDI,762
3,A6,40 TDI quattro,392
4,A6,45 TDI quattro,315
5,A6,50 TDI quattro,67
6,A6,S6 TDI,20
7,A6,S6 TDI,20
8,A7,55 TFSI quattro,693
9,A7,50 TDI quattro,185
10,A7,45 TDI quattro,129
11,A7,S7 TDI,44
12,A7,S7 TDI,44
13,Q8,50 TDI quattro,338
14,Q8,55 TFSI quattro,236
15,Q8,45 TDI quattro,114
16,Q8,SQ8 TDI,41
17,Q8,SQ8 TDI,41
18,A4,40 TFSI,410
19,A4,35 TDI,102
20,A4,45 TFSI quattro,43
21,A4,40 TDI quattro,19
22,A4,40 TDI quattro,19
23,Q7,45 TDI quattro,362
24,Q7,55 TFSI quattro,76
25,Q7,50 TDI quattro,53
26,Q7,50 TDI quattro,53
27,A5,Sportback 40 TDI quattro,193
28,A5,Sportback 45 TFSI quattro,132
29,A5,Sportback 40 TFSI quattro,67
30,A5,Cabriolet 45 TFSI quattro,35
31,A5,Coupe 45 TFSI quattro,16
32,A5,Coupe 45 TFSI quattro,16
33,A8,L 55 TFSI quattro,147
34,A8,L 50 TDI quattro,97
35,A8,50 TDI quattro,54
36,A8,L 60 TFSI quattro,43
37,A8,S8 L TFSI,11
38,A8,S8 L TFSI,11
39,Q5,40 TDI quattro,142
40,Q5,SQ5 TDI,99
41,Q5,50 TDI quattro,61
42,Q5,45 TFSI quattro,3
43,Q5,45 TFSI quattro,3
44,e-tron,55 quattro,70
45,e-tron,Sportback 50 quattro,6
46,e-tron,50 quattro,1
47,e-tron,50 quattro,1
48,Q3,Sportback 35 TDI,47
49,Q3,35 TDI,27
50,Q3,35 TDI,27
51,Q2,35 TDI,38
52,Q2,35 TDI,38
53,The new audi R8,V10 performance,32
54,The new audi R8,V10 performance,32
