,car_name,sub_name,quentity
0,5 Series,520i,"3,114"
1,5 Series,530e,"2,010"
2,5 Series,530i,"1,731"
3,5 Series,530i xDrive,958
4,5 Series,523d,653
5,5 Series,523d xDrive,305
6,5 Series,M550i xDrive,170
7,5 Series,540i xDrive,27
8,5 Series,540i xDrive,27
9,3 Series,320i,"2,101"
10,3 Series,330e,424
11,3 Series,320d,325
12,3 Series,320i Touring,242
13,3 Series,M340i,231
14,3 Series,320d Touring,109
15,3 Series,320d xDrive,95
16,3 Series,M340i xDrive Touring,90
17,3 Series,M340i xDrive Touring,90
18,X5,40i,968
19,X5,30d,797
20,X5,45e,418
21,X5,M50i,82
22,X5,40d,59
23,X5,M50d,1
24,X5,M50d,1
25,X3,20i,"1,233"
26,X3,30e,492
27,X3,20d,224
28,X3,M40i,89
29,X3,30d,5
30,X3,30d,5
31,X6,40i,979
32,X6,30d,674
33,X6,M50i,94
34,X6,40d,44
35,X6,M50d,1
36,X6,M50d,1
37,X7,40i,"1,215"
38,X7,40d,367
39,X7,M50i,115
40,X7,30d,2
41,X7,30d,2
42,6 Series,630i xDrive Gran Turismo,624
43,6 Series,620d Gran Turismo,573
44,6 Series,620d xDrive Gran Turismo,301
45,6 Series,640i xDrive Gran Turismo,61
46,6 Series,630d xDrive Gran Turismo,17
47,6 Series,630d xDrive Gran Turismo,17
48,X4,20i,"1,118"
49,X4,20d,173
50,X4,M40i,71
51,X4,M40i,71
52,7 Series,740Li xDrive,473
53,7 Series,730d xDrive,199
54,7 Series,730Ld xDrive,190
55,7 Series,745Le,127
56,7 Series,740i,122
57,7 Series,745e,114
58,7 Series,740d xDrive,60
59,7 Series,M760Li xDrive,29
60,7 Series,M760Li xDrive,29
61,X1,20i,941
62,X1,18d,238
63,X1,18d,238
64,1 Series,118d Urban,"1,008"
65,1 Series,118d Urban,"1,008"
66,2 Series,218d Gran Coupe,587
67,2 Series,M235i xDrive Gran Coupe,164
68,2 Series,220d Gran Coupe,2
69,2 Series,220d Gran Coupe,2
70,New 4 Series,420i Coupe,292
71,New 4 Series,420d Coupe,65
72,New 4 Series,M440i xDrive Coupe,62
73,New 4 Series,420i Convertible,59
74,New 4 Series,420i Convertible,59
75,2 Series Active Tourer,Active Tourer,462
76,2 Series Active Tourer,Active Tourer,462
77,X2,20i,236
78,X2,18d,83
79,X2,25i,1
80,X2,20d,1
81,X2,20d,1
82,Z4,20i,122
83,Z4,M40i,52
84,Z4,M40i,52
85,8 Series,840i xDrive Gran Coupe,114
86,8 Series,840d xDrive Gran Coupe,18
87,8 Series,840i xDrive Coupe,13
88,8 Series,840i xDrive Coupe,13
89,M2,M2,76
90,M2,M2,76
91,M5,M5,75
92,M5,M5,75
93,X6 M,X6 M,66
94,X6 M,X6 M,66
95,i3,i3,65
96,i3,i3,65
97,X3 M,X3 M,50
98,X3 M,X3 M,50
99,X5 M,X5 M,44
100,X5 M,X5 M,44
101,X4 M,X4 M,39
102,X4 M,X4 M,39
103,The new M3,M3,36
104,The new M3,M3,36
105,The new M4,M4 Coupe,29
106,The new M4,M4 Coupe,29
107,4 Series,430i Coupe,20
108,4 Series,420d xDrive Gran Coupe,5
109,4 Series,420d Gran Coupe,2
110,4 Series,430i Convertible,1
111,4 Series,430i Convertible,1
112,M8,M8 Gran Coupe,8
113,M8,M8 Coupe,5
114,M8,M8 Coupe,5
115,5 Series,520d xDrive,5
116,5 Series,M550d xDrive,3
117,5 Series,530d,1
118,5 Series,530d,1
119,M3,3.0,7
120,M3,3.0,7
121,M4,M4 Coupe,6
122,M4,M4 Coupe,6
