,car_name,sub_name,quentity
0,Hatch,Cooper,"1,248"
1,Hatch,Cooper five-door,"1,245"
2,Hatch,Cooper D,892
3,Hatch,Cooper D five-door,887
4,Hatch,John Cooper Works,243
5,Hatch,Cooper S,202
6,Hatch,Cooper S five-door,162
7,Hatch,Cooper SD,69
8,Hatch,Cooper SD five-door,55
9,Hatch,Cooper SD five-door,55
10,Countryman,Cooper D ALL4,"1,289"
11,Countryman,Cooper D,877
12,Countryman,Cooper SD ALL4,114
13,Countryman,Cooper SD ALL4,114
14,Clubman,1.5 Cooper,"1,010"
15,Clubman,2.0 Cooper D,991
16,Clubman,2.0 Cooper S,207
17,Clubman,2.0 Cooper SD,19
18,Clubman,2.0 Cooper SD,19
19,Convertible,Cooper S,223
20,Convertible,Cooper,182
21,Convertible,Cooper,182
22,Countryman,Cooper D ALL4,97
23,Countryman,Cooper D ALL4,97
