,car_name,sub_name,quentity
0,5 Series,520i,"5,792"
1,5 Series,530i,"4,179"
2,5 Series,530i xDrive,"3,956"
3,5 Series,520d,"3,059"
4,5 Series,520d xDrive,"1,776"
5,5 Series,530d,430
6,5 Series,540i xDrive,416
7,5 Series,530e,209
8,5 Series,M550d xDrive,141
9,5 Series,M550d xDrive,141
10,3 Series,320d,"2,778"
11,3 Series,320d Gran Turismo,"1,636"
12,3 Series,330i,838
13,3 Series,320d xDrive Gran Turismo,596
14,3 Series,320i,296
15,3 Series,320d xDrive,273
16,3 Series,330e,63
17,3 Series,320d Touring,29
18,3 Series,320d ED,2
19,3 Series,320d ED,2
20,6 Series,620d Gran Turismo,"1,301"
21,6 Series,620d xDrive Gran Turismo,494
22,6 Series,640i xDrive Gran Turismo,357
23,6 Series,630d xDrive Gran Turismo,248
24,6 Series,630i xDrive Gran Turismo,242
25,6 Series,630i xDrive Gran Turismo,242
26,X3,20d,"2,121"
27,X3,30d,143
28,X3,30d,143
29,X4,20d,"1,469"
30,X4,M40d,146
31,X4,30d,28
32,X4,30d,28
33,4 Series,420i Gran Coupe,913
34,4 Series,430i Convertible,214
35,4 Series,420d Gran Coupe,153
36,4 Series,420d Coupe,114
37,4 Series,420i Coupe,103
38,4 Series,420d xDrive Gran Coupe,74
39,4 Series,430i Coupe,60
40,4 Series,435d xDrive Gran Coupe,8
41,4 Series,435d xDrive Gran Coupe,8
42,X5,30d,"1,016"
43,X5,M50d,233
44,X5,40e,65
45,X5,M,20
46,X5,40d,2
47,X5,40d,2
48,1 Series,118d,"1,239"
49,1 Series,118d,"1,239"
50,7 Series,730Ld xDrive,354
51,7 Series,740Li xDrive,287
52,7 Series,730d xDrive,199
53,7 Series,740d xDrive,86
54,7 Series,740Ld xDrive,65
55,7 Series,M760Li xDrive,65
56,7 Series,750Li xDrive,59
57,7 Series,745Le,35
58,7 Series,745e,22
59,7 Series,745e,22
60,X1,18d,838
61,X1,20d,128
62,X1,25i,124
63,X1,25i,124
64,X5,30d,"1,035"
65,X5,M50d,44
66,X5,M50d,44
67,7 Series,730Ld xDrive,331
68,7 Series,740d xDrive,158
69,7 Series,730d xDrive,143
70,7 Series,740Li xDrive,129
71,7 Series,750Li xDrive,118
72,7 Series,740e,46
73,7 Series,M760Li xDrive,44
74,7 Series,740Ld xDrive,19
75,7 Series,740Ld xDrive,19
76,X6,30d,656
77,X6,M50d,140
78,X6,40d,84
79,X6,M,42
80,X6,M,42
81,3 Series,330i xDrive,366
82,3 Series,320d,172
83,3 Series,M340i,108
84,3 Series,330i,40
85,3 Series,320d xDrive,16
86,3 Series,320d xDrive,16
87,X2,20d,314
88,X2,18d,171
89,X2,20i,104
90,X2,25i,88
91,X2,25i,88
92,2 Series Active Tourer,Active Tourer,483
93,2 Series Active Tourer,Active Tourer,483
94,X7,30d,267
95,X7,40i,139
96,X7,M50d,58
97,X7,M50d,58
98,Z4,20i,207
99,Z4,M40i,82
100,Z4,M40i,82
101,i3,i3,254
102,i3,i3,254
103,M2,M2,225
104,M2,M2,225
105,X1,20i,155
106,X1,18d,70
107,X1,18d,70
108,M5,M5,217
109,M5,M5,217
110,M4,M4 Coupe,125
111,M4,M4 Convertible,47
112,M4,M4 Convertible,47
113,6 Series,GT 640i xDrive,86
114,6 Series,GT 630d xDrive,55
115,6 Series,640d Gran Coupe xDrive,20
116,6 Series,640d Gran Coupe xDrive,20
117,X6,30d,109
118,X6,M50d,6
119,X6,40i,4
120,X6,40i,4
121,8 Series,840i xDrive Gran Coupe,52
122,8 Series,840d xDrive Gran Coupe,46
123,8 Series,840i xDrive Coupe,12
124,8 Series,840i xDrive Coupe,12
125,X4,M40i,87
126,X4,30d,14
127,X4,30d,14
128,X3 M,X3 M,56
129,X3 M,X3 M,56
130,X4 M,X4 M,53
131,X4 M,X4 M,53
132,M3,3.0,51
133,M3,3.0,51
134,i8,1.5 Roadster,20
135,i8,1.5,1
136,i8,1.5,1
137,1 Series,118d Urban,20
138,1 Series,118d Urban,20
139,i8,i8 Roadster,9
140,i8,i8 Coupe,1
141,i8,i8 Coupe,1
142,M8,M8 Coupe,6
143,M8,M8 Coupe,6
