,car_name,sub_name,quentity
0,E-Class,E300,"10,257"
1,E-Class,E300 4MATIC,"10,130"
2,E-Class,E200,"7,196"
3,E-Class,E220d,"4,348"
4,E-Class,E220d 4MATIC,"3,220"
5,E-Class,E220d Coupe,"1,135"
6,E-Class,E220d Cabriolet,"1,125"
7,E-Class,E400 4MATIC,810
8,E-Class,E63 4MATIC+ AMG,224
9,E-Class,E43 4MATIC AMG,182
10,E-Class,E400 4MATIC Coupe,175
11,E-Class,E400 Cabriolet,121
12,E-Class,E350d,3
13,E-Class,E350d,3
14,C-Class,C220d,"3,092"
15,C-Class,C200,"1,838"
16,C-Class,C200d,"1,087"
17,C-Class,C200 Cabriolet,545
18,C-Class,C200 4MATIC,431
19,C-Class,C220d 4MATIC,406
20,C-Class,C200 Coupe,271
21,C-Class,C250d 4MATIC,159
22,C-Class,C43 4MATIC AMG,131
23,C-Class,C63 Coupe AMG,71
24,C-Class,C63 AMG,70
25,C-Class,C43 4MATIC Coupe AMG,67
26,C-Class,C43 4MATIC Cabriolet AMG,64
27,C-Class,C63 S Coupe AMG,35
28,C-Class,C63 Cabriolet AMG,32
29,C-Class,C220d Coupe,2
30,C-Class,C220d Coupe,2
31,GLC-Class,GLC350e 4MATIC,"3,312"
32,GLC-Class,GLC220d 4MATIC,"2,124"
33,GLC-Class,GLC220d 4MATIC Coupe,"1,510"
34,GLC-Class,GLC250d 4MATIC,728
35,GLC-Class,AMG GLC43 4MATIC,206
36,GLC-Class,AMG GLC43 4MATIC Coupe,175
37,GLC-Class,GLC250d 4MATIC Coupe,142
38,GLC-Class,GLC250d 4MATIC Coupe,142
39,S-Class,S450 4MATIC Long,"2,256"
40,S-Class,S560 4MATIC Long,"1,735"
41,S-Class,S400d 4MATIC Long,769
42,S-Class,S350d 4MATIC,397
43,S-Class,S450 Long,391
44,S-Class,S350 Long,364
45,S-Class,AMG S63 4MATIC+ L,302
46,S-Class,S350d,110
47,S-Class,S560 Long,83
48,S-Class,S400d Long,31
49,S-Class,S400d Long,31
50,GLE-Class,GLE350d 4MATIC,"1,449"
51,GLE-Class,GLE350d 4MATIC Coupe,"1,439"
52,GLE-Class,AMG GLE63 S 4MATIC Coupe,71
53,GLE-Class,GLE63 4MATIC AMG,5
54,GLE-Class,GLE250d 4MATIC,2
55,GLE-Class,GLE250d 4MATIC,2
56,CLS-Class,CLS400d 4MATIC,"2,873"
57,CLS-Class,CLS400d 4MATIC,"2,873"
58,GLA-Class,GLA220,"2,258"
59,GLA-Class,GLA250 4MATIC,221
60,GLA-Class,AMG GLA45 4MATIC,165
61,GLA-Class,AMG GLA45 4MATIC,165
62,CLA-Class,CLA220,"1,824"
63,CLA-Class,CLA250 4MATIC,566
64,CLA-Class,CLA 45 4MATIC AMG,248
65,CLA-Class,CLA 45 4MATIC AMG,248
66,A-Class,A200,970
67,A-Class,A45 AMG 4MATIC,203
68,A-Class,A45 AMG 4MATIC,203
69,S-Class,S350d 4MATIC,488
70,S-Class,S350d,91
71,S-Class,S400 4MATIC Coupe,5
72,S-Class,S500 4MATIC,2
73,S-Class,S65 Coupe AMG,1
74,S-Class,S63 4MATIC Cabriolet AMG,1
75,S-Class,S63 4MATIC Coupe AMG,1
76,S-Class,S63 4MATIC AMG,1
77,S-Class,S63 4MATIC AMG,1
78,B-class,B220,536
79,B-class,B200d,45
80,B-class,B200d,45
81,GLS-Class,GLS350d 4MATIC,445
82,GLS-Class,GLS500 4MATIC,128
83,GLS-Class,GLS500 4MATIC,128
84,Maybach,S560 4MATIC (2018),416
85,Maybach,S500 4MATIC,7
86,Maybach,S560 4MATIC,6
87,Maybach,S600,1
88,Maybach,S600,1
89,SLC-Class,SLC200,64
90,SLC-Class,SLC43 AMG,54
91,SLC-Class,SLC43 AMG,54
92,AMG GT,GT AMG,34
93,AMG GT,GT S AMG,24
94,AMG GT,GT S AMG,24
95,SL-Class,SL400,53
96,SL-Class,SL63 AMG,1
97,SL-Class,SL63 AMG,1
98,G-Class,G350d,16
99,G-Class,G63 AMG (2017),1
100,G-Class,G63 AMG (2017),1
101,CLS-Class,CLS250d 4MATIC,10
102,CLS-Class,CLS400,7
103,CLS-Class,CLS400,7
