,car_name,sub_name,quentity
0,The New E-Class,E250,"6,787"
1,The New E-Class,E350 4MATIC,"3,380"
2,The New E-Class,E300e 4MATIC,"1,567"
3,The New E-Class,E450 4MATIC,796
4,The New E-Class,E220d 4MATIC,401
5,The New E-Class,E450 4MATIC Cabriolet,293
6,The New E-Class,E450 4MATIC Coupe,172
7,The New E-Class,AMG E53 4MATIC+,80
8,The New E-Class,AMG E53 4MATIC+ Coupe,56
9,The New E-Class,AMG E53 4MATIC+ Coupe,56
10,GLC-Class,GLC300e 4MATIC Coupe,983
11,GLC-Class,GLC300e 4MATIC,945
12,GLC-Class,GLC220d 4MATIC Coupe,549
13,GLC-Class,GLC220d 4MATIC,444
14,GLC-Class,GLC300 4MATIC Coupe,235
15,GLC-Class,AMG GLC43 4MATIC Coupe,105
16,GLC-Class,AMG GLC43 4MATIC,54
17,GLC-Class,GLC300 4MATIC,50
18,GLC-Class,GLC300 4MATIC,50
19,GLE-Class,GLE400d 4MATIC Coupe,"1,557"
20,GLE-Class,GLE450 4MATIC,908
21,GLE-Class,GLE300d 4MATIC,491
22,GLE-Class,AMG GLE53 4MATIC+ Coupe,146
23,GLE-Class,AMG GLE53 4MATIC+,72
24,GLE-Class,AMG GLE53 4MATIC+,72
25,A-Class,A220 Sedan,"1,569"
26,A-Class,A220,754
27,A-Class,AMG A45 4MATIC,115
28,A-Class,A250 4MATIC,115
29,A-Class,AMG A35 4MATIC,95
30,A-Class,A200d,78
31,A-Class,A200d,78
32,GLB-Class,GLB250 4MATIC,"1,620"
33,GLB-Class,GLB220,753
34,GLB-Class,AMG GLB35 4MATIC,281
35,GLB-Class,GLB200d,63
36,GLB-Class,GLB200d,63
37,The new S-Class,S580 4MATIC,"1,026"
38,The new S-Class,S400d 4MATIC,749
39,The new S-Class,S350d,557
40,The new S-Class,S350d,557
41,CLS-Class,CLS450 4MATIC,"1,845"
42,CLS-Class,AMG CLS53 4MATIC+,130
43,CLS-Class,CLS300d,10
44,CLS-Class,CLS300d,10
45,C-Class,C200,611
46,C-Class,C220d 4MATIC,209
47,C-Class,C200 Cabriolet,172
48,C-Class,C200 Coupe,110
49,C-Class,AMG C43 4MATIC Coupe,25
50,C-Class,AMG C63 S Coupe,20
51,C-Class,AMG C43 4MATIC,8
52,C-Class,AMG C43 4MATIC,8
53,G-Class,AMG G63,862
54,G-Class,G400d,183
55,G-Class,G400d,183
56,GLA-Class,GLA220,590
57,GLA-Class,GLA250 4MATIC,368
58,GLA-Class,AMG GLA45 4MATIC+,10
59,GLA-Class,AMG GLA45 4MATIC+,10
60,AMG GT,GT 43 4MATIC+,592
61,AMG GT, GT 63 S 4MATIC,70
62,AMG GT, GT 63 S 4MATIC,70
63,GLS-Class,GLS400d 4MATIC,447
64,GLS-Class,GLS580 4MATIC,186
65,GLS-Class,GLS580 4MATIC,186
66,S-Class,S560 4MATIC Long,150
67,S-Class,S450 4MATIC Long,91
68,S-Class,S350d 4MATIC,60
69,S-Class,S560e,42
70,S-Class,AMG S63 4MATIC+ Coupe,32
71,S-Class,AMG S63 4MATIC+ L,18
72,S-Class,S350 Long,12
73,S-Class,S450 4MATIC Coupe,9
74,S-Class,AMG S63 4MATIC Coupe,8
75,S-Class,S450 Long,1
76,S-Class,S450 Long,1
77,EQC,EQC400 4MATIC,309
78,EQC,EQC400 4MATIC,309
79,CLA-Class,CLA250 4MATIC,239
80,CLA-Class,AMG CLA45 S 4MATIC+,3
81,CLA-Class,AMG CLA45 S 4MATIC+,3
82,Maybach GLS,GLS600 4MATIC,21
83,Maybach GLS,GLS600 4MATIC,21
84,E-Class,E220d,7
85,E-Class,E300 4MATIC,5
86,E-Class,E300,3
87,E-Class,AMG E63 4MATIC+,3
88,E-Class,E220d Cabriolet,1
89,E-Class,E220d Coupe,1
90,E-Class,E220d Coupe,1
91,The New AMG GT,GT,9
92,The New AMG GT,GT C Roadster,7
93,The New AMG GT,GT R,1
94,The New AMG GT,GT R,1
95,Maybach,S650 Pullman,10
96,Maybach,S560 4MATIC,3
97,Maybach,S650,2
98,Maybach,S500 4MATIC,1
99,Maybach,S500 4MATIC,1
