,car_name,sub_name,quentity
0,E-Class,E300 4MATIC,"8,806"
1,E-Class,E220d,"6,530"
2,E-Class,E300,"6,299"
3,E-Class,E200,"4,737"
4,E-Class,E220d 4MATIC,"4,645"
5,E-Class,E400 4MATIC,"1,398"
6,E-Class,E220d Coupe,957
7,E-Class,E350d,756
8,E-Class,E400 4MATIC Coupe,330
9,E-Class,E43 4MATIC AMG,276
10,E-Class,E63 4MATIC+ AMG,3
11,E-Class,E63 4MATIC+ AMG,3
12,C-Class,C200,"4,834"
13,C-Class,C220d,"2,593"
14,C-Class,C200 Cabriolet,901
15,C-Class,C200d,742
16,C-Class,C220d 4MATIC,577
17,C-Class,C200 Coupe,369
18,C-Class,C250d 4MATIC,355
19,C-Class,C43 4MATIC AMG,204
20,C-Class,C220d Coupe,137
21,C-Class,C63 Coupe AMG,119
22,C-Class,C63 Cabriolet AMG,71
23,C-Class,C63 AMG,71
24,C-Class, C63 S AMG,31
25,C-Class,C63 S Coupe AMG,27
26,C-Class,C220d 4MATIC Estate,7
27,C-Class,C450 4MATIC AMG,2
28,C-Class,C450 4MATIC AMG,2
29,S-Class,S350d 4MATIC,"2,923"
30,S-Class,S500 4MATIC,754
31,S-Class,S400 4MATIC,399
32,S-Class,S350d,300
33,S-Class,S63 4MATIC Long AMG,188
34,S-Class,S63 4MATIC Coupe AMG,85
35,S-Class,S400 4MATIC Coupe,57
36,S-Class,S63 4MATIC Cabriolet AMG,54
37,S-Class,S500,22
38,S-Class,S65 Long AMG,16
39,S-Class,S65 Coupe AMG,13
40,S-Class,S400,9
41,S-Class,S63 4MATIC AMG,5
42,S-Class,S63 4MATIC Coupe AMG,4
43,S-Class,S350 BlueTEC 4MATIC,1
44,S-Class,S600,1
45,S-Class,S600,1
46,GLC-Class,GLC220d 4MATIC Coupe,"2,319"
47,GLC-Class,GLC220d 4MATIC,"1,529"
48,GLC-Class,GLC250d 4MATIC Coupe,227
49,GLC-Class,AMG GLC43 4MATIC,226
50,GLC-Class,GLC250d 4MATIC,216
51,GLC-Class,AMG GLC43 4MATIC Coupe,206
52,GLC-Class,AMG GLC43 4MATIC Coupe,206
53,GLE-Class,GLE350d 4MATIC Coupe,"1,951"
54,GLE-Class,GLE350d 4MATIC,"1,253"
55,GLE-Class,GLE250d 4MATIC,332
56,GLE-Class,AMG GLE63 S 4MATIC Coupe,162
57,GLE-Class,GLE63 4MATIC AMG,115
58,GLE-Class,GLE63 4MATIC AMG,115
59,CLA-Class,CLA250 4MATIC,"1,655"
60,CLA-Class,CLA220,"1,121"
61,CLA-Class,CLA 45 4MATIC AMG,304
62,CLA-Class,CLA200d,2
63,CLA-Class,CLA200d,2
64,CLS-Class,CLS250d 4MATIC,"1,528"
65,CLS-Class,CLS400,636
66,CLS-Class,CLS63 4MATIC AMG,79
67,CLS-Class,CLS63 S 4MATIC AMG,55
68,CLS-Class,CLS350d 4MATIC,14
69,CLS-Class,CLS350d 4MATIC,14
70,S-Class,S560 4MATIC Long,703
71,S-Class,S450 4MATIC Long,703
72,S-Class,S400d 4MATIC Long,699
73,S-Class,AMG S63 4MATIC+ L,129
74,S-Class,S450 Long,71
75,S-Class,S450 Long,71
76,GLA-Class,GLA220,"1,972"
77,GLA-Class,AMG GLA45 4MATIC,149
78,GLA-Class,GLA250 4MATIC,90
79,GLA-Class,GLA250 4MATIC,90
80,E-Class,E200,"1,877"
81,E-Class,E400 4MATIC,157
82,E-Class,E200 Cabriolet,63
83,E-Class,E200 Coupe,24
84,E-Class,E400 Coupe,2
85,E-Class,E400 Cabriolet,1
86,E-Class,E400 Cabriolet,1
87,A-Class,A200,"1,385"
88,A-Class,A45 AMG 4MATIC,411
89,A-Class,A45 AMG 4MATIC,411
90,GLS-Class,GLS350d 4MATIC,512
91,GLS-Class,GLS500 4MATIC,362
92,GLS-Class,GLS500 4MATIC,362
93,GLA-Class,GLA200d,513
94,GLA-Class,GLA200d 4MATIC,181
95,GLA-Class,GLA45 AMG 4MATIC,63
96,GLA-Class,GLA45 AMG 4MATIC,63
97,B-class,B200d,395
98,B-class,B220,81
99,B-class,B200 CDI,15
100,B-class,B200 CDI,15
101,Maybach,S560 4MATIC (2018),282
102,Maybach,S500 4MATIC,155
103,Maybach,S600,30
104,Maybach,S600,30
105,G-Class,G350d,216
106,G-Class,G63 AMG (2017),154
107,G-Class,G63 AMG,8
108,G-Class,G65 AMG,4
109,G-Class,G65 AMG,4
110,SLC-Class,SLC200,239
111,SLC-Class,SLC43 AMG,108
112,SLC-Class,SLC43 AMG,108
113,SL-Class,SL400,53
114,SL-Class,SL63 AMG,5
115,SL-Class,SL63 AMG,5
116,AMG GT,GT AMG,16
117,AMG GT,GT S AMG,2
118,AMG GT,GT S AMG,2
