,car_name,sub_name,quentity
0,5 Series,520d,"7,704"
1,5 Series,530i xDrive,"4,400"
2,5 Series,530i,"4,248"
3,5 Series,520d xDrive,"3,870"
4,5 Series,520i,"2,929"
5,5 Series,540i xDrive,653
6,5 Series,530d,301
7,5 Series,M550d xDrive,95
8,5 Series,M550d xDrive,95
9,3 Series,320d,"4,862"
10,3 Series,320i,"2,456"
11,3 Series,320d Gran Turismo,"1,441"
12,3 Series,330i,"1,207"
13,3 Series,320d xDrive Gran Turismo,521
14,3 Series,320d xDrive,74
15,3 Series,320d ED,67
16,3 Series,330e,29
17,3 Series,320d Touring,5
18,3 Series,320d Touring,5
19,X3,20d,"2,289"
20,X3,30d,206
21,X3,30d,206
22,4 Series,420i Gran Coupe,598
23,4 Series,430i Convertible,596
24,4 Series,420d Gran Coupe,474
25,4 Series,420d xDrive Gran Coupe,271
26,4 Series,420i Coupe,221
27,4 Series,430i Coupe,146
28,4 Series,420d Coupe,125
29,4 Series,435d xDrive Gran Coupe,19
30,4 Series,435d xDrive Gran Coupe,19
31,7 Series,730Ld xDrive,761
32,7 Series,740Li xDrive,636
33,7 Series,740d xDrive,303
34,7 Series,730d xDrive,267
35,7 Series,750Li xDrive,264
36,7 Series,740Ld xDrive,109
37,7 Series,740e,80
38,7 Series,M760Li xDrive,24
39,7 Series,750Ld xDrive,1
40,7 Series,750Ld xDrive,1
41,X5,30d,"1,494"
42,X5,40e,164
43,X5,40d,164
44,X5,M50d,47
45,X5,M,45
46,X5,M,45
47,1 Series,118d,"1,765"
48,1 Series,118d,"1,765"
49,X6,30d,"1,456"
50,X6,40d,166
51,X6,M,73
52,X6,M50d,40
53,X6,M50d,40
54,6 Series,GT 640i xDrive,601
55,6 Series,GT 630d xDrive,496
56,6 Series,640d Gran Coupe xDrive,321
57,6 Series,640d Gran Coupe xDrive,321
58,X4,20d,878
59,X4,30d,5
60,X4,M40i,4
61,X4,M40i,4
62,X1,20d,572
63,X1,18d,135
64,X1,18d,135
65,2 Series Active Tourer,Active Tourer,642
66,2 Series Active Tourer,Active Tourer,642
67,M,M3,124
68,M,M 550d xDrive,100
69,M,M2,100
70,M,M760Li xDrive,88
71,M,M4 Coupe,88
72,M,M5,55
73,M,M4 Convertible,44
74,M,M4 Convertible,44
75,Gran Turismo,GT 640i xDrive,233
76,Gran Turismo,GT 630d xDrive,133
77,Gran Turismo,GT 3.0d xDrive,1
78,Gran Turismo,GT 3.0d xDrive,1
79,X4,20d,217
80,X4,M40d,24
81,X4,M40d,24
82,i3,i3,189
83,i3,i3,189
84,M2,M2,127
85,M2,M2,127
86,M5,M5,125
87,M5,M5,125
88,i8,1.5,122
89,i8,1.5 Roadster,2
90,i8,1.5 Roadster,2
91,M4,M4 Coupe,45
92,M4,M4 Convertible,21
93,M4,M4 Convertible,21
94,X2,20d,54
95,X2,20d,54
96,M3,3.0,34
97,M3,3.0,34
98,i3,EV,2
99,i3,EV,2
