,car_name,sub_name,quentity
0,XC60,2.0 D5 AWD,"2,179"
1,XC60,2.0 T6 AWD,911
2,XC60,2.0 T8 AWD,116
3,XC60,2.0 T8 AWD,116
4,XC40,2.0 T4 AWD,"1,760"
5,XC40,2.0 T4 AWD,"1,760"
6,S90,2.0 T5,"1,323"
7,S90,2.0 D5 AWD,355
8,S90,2.0 T8 AWD,25
9,S90,2.0 T8 AWD,25
10,S60,2.0 T5,"1,276"
11,S60,2.0 T5,"1,276"
12,XC90,2.0 D5 AWD,754
13,XC90,2.0 T6 AWD,334
14,XC90,2.0 T8 AWD,80
15,XC90,2.0 T8 AWD,80
16,V60 Cross Country,2.0 T5 AWD,"1,108"
17,V60 Cross Country,2.0 T5 AWD,"1,108"
18,V90 Cross Country,2.0 T5 AWD,535
19,V90 Cross Country,2.0 D5 AWD,121
20,V90 Cross Country,2.0 D5 AWD,121
21,XC90,2.0 D5 AWD,206
22,XC90,2.0 T6 AWD,175
23,XC90,2.0 T8 AWD,26
24,XC90,2.0 T8 AWD,26
25,V40 Cross Country,2.0 D3,386
26,V40 Cross Country,2.0 D3,386
