,car_name,sub_name,quentity
0,Hatch,Cooper five-door,"1,530"
1,Hatch,Cooper,"1,302"
2,Hatch,Cooper D five-door,580
3,Hatch,Cooper D,470
4,Hatch,Cooper S,242
5,Hatch,Cooper S five-door,203
6,Hatch,John Cooper Works,182
7,Hatch,Cooper SD five-door,31
8,Hatch,Cooper SD,17
9,Hatch,Cooper SD,17
10,Clubman,1.5 Cooper,"1,763"
11,Clubman,2.0 Cooper D,401
12,Clubman,2.0 Cooper S,208
13,Clubman,2.0 John Cooper Works,32
14,Clubman,2.0 Cooper SD,20
15,Clubman,2.0 Cooper SD,20
16,Countryman,Cooper D ALL4,"1,084"
17,Countryman,Cooper,658
18,Countryman,Cooper D,329
19,Countryman,Cooper S ALL4,135
20,Countryman,John Cooper Works ALL4,49
21,Countryman,Cooper SD ALL4,44
22,Countryman,Cooper SD ALL4,44
23,Convertible,Cooper S,235
24,Convertible,Cooper,210
25,Convertible,John Cooper Works,38
26,Convertible,John Cooper Works,38
