,car_name,sub_name,quentity
0,E-Class,E300 4MATIC,"7,835"
1,E-Class,E250,"5,173"
2,E-Class,E300,"2,531"
3,E-Class,E220d,"1,781"
4,E-Class,E220d 4MATIC,"1,446"
5,E-Class,E450 4MATIC,"1,091"
6,E-Class,E300e 4MATIC,933
7,E-Class,E350 4MATIC,629
8,E-Class,E220d Cabriolet,493
9,E-Class,E220d Coupe,240
10,E-Class,E450 4MATIC Coupe,207
11,E-Class,AMG E53 4MATIC+,198
12,E-Class,E300e,169
13,E-Class,E450 4MATIC Cabriolet,140
14,E-Class,AMG E63 4MATIC+,139
15,E-Class,AMG E53 4MATIC+ Coupe,36
16,E-Class,E400 Cabriolet,1
17,E-Class,E450 Cabriolet,1
18,E-Class,E450 Cabriolet,1
19,The New E-Class,E250,"5,148"
20,The New E-Class,E350 4MATIC,"2,037"
21,The New E-Class,E220d 4MATIC,"1,976"
22,The New E-Class,E300e 4MATIC,"1,027"
23,The New E-Class,E450 4MATIC,298
24,The New E-Class,AMG E53 4MATIC+,69
25,The New E-Class,E450 4MATIC Coupe,24
26,The New E-Class,AMG E53 4MATIC+ Coupe,22
27,The New E-Class,E450 4MATIC Cabriolet,1
28,The New E-Class,E450 4MATIC Cabriolet,1
29,GLC-Class,GLC300 4MATIC,"2,259"
30,GLC-Class,GLC300 4MATIC Coupe,"1,891"
31,GLC-Class,GLC300e 4MATIC Coupe,"1,280"
32,GLC-Class,GLC300e 4MATIC,874
33,GLC-Class,GLC220d 4MATIC Coupe,444
34,GLC-Class,GLC220d 4MATIC,220
35,GLC-Class,AMG GLC43 4MATIC Coupe,166
36,GLC-Class,AMG GLC43 4MATIC,96
37,GLC-Class,AMG GLC63 S 4MATIC Coupe,37
38,GLC-Class,AMG GLC63 S 4MATIC+,33
39,GLC-Class,AMG GLC63 S 4MATIC+ Coupe,8
40,GLC-Class,AMG GLC63 S 4MATIC+ Coupe,8
41,S-Class,S350d 4MATIC,"2,042"
42,S-Class,S560 4MATIC Long,"1,177"
43,S-Class,S450 4MATIC Long,984
44,S-Class,S350 Long,659
45,S-Class,S350d,586
46,S-Class,AMG S63 4MATIC+ L,260
47,S-Class,S560e,201
48,S-Class,S450 4MATIC Coupe,76
49,S-Class,AMG S63 4MATIC+ Coupe,35
50,S-Class,AMG S63 4MATIC Coupe,34
51,S-Class,AMG S63 4MATIC+ Cabriolet,14
52,S-Class,S560 Long,3
53,S-Class,AMG S63 4MATIC Cabriolet,2
54,S-Class,AMG S65 Coupe,1
55,S-Class,AMG S65 Coupe,1
56,A-Class,A220 Sedan,"4,014"
57,A-Class,A220,927
58,A-Class,A250 4MATIC,782
59,A-Class,AMG A35 4MATIC,171
60,A-Class,A200d,39
61,A-Class,A200,20
62,A-Class,AMG A45 4MATIC,16
63,A-Class,AMG A45 4MATIC,16
64,C-Class,C200,"3,418"
65,C-Class,C220d 4MATIC,841
66,C-Class,C200 Cabriolet,422
67,C-Class,C200 Coupe,367
68,C-Class,AMG C43 4MATIC,137
69,C-Class,AMG C43 4MATIC Cabriolet,73
70,C-Class,AMG C63 S Coupe,46
71,C-Class,AMG C43 4MATIC Coupe,20
72,C-Class,C220d,14
73,C-Class,C350e,11
74,C-Class,C220d 4MATIC Coupe,7
75,C-Class,AMG C63 Coupe,1
76,C-Class,AMG C63 Coupe,1
77,CLS-Class,CLS450 4MATIC,"2,558"
78,CLS-Class,CLS300d,"2,316"
79,CLS-Class,AMG CLS53 4MATIC+,302
80,CLS-Class,CLS400d 4MATIC,67
81,CLS-Class,CLS400d 4MATIC,67
82,GLE-Class,GLE450 4MATIC,"2,178"
83,GLE-Class,GLE300d 4MATIC,"1,422"
84,GLE-Class,GLE400d 4MATIC Coupe,244
85,GLE-Class,GLE400d 4MATIC Coupe,244
86,CLA-Class,CLA250 4MATIC,"2,434"
87,CLA-Class,AMG CLA45 S 4MATIC+,117
88,CLA-Class,AMG CLA45 S 4MATIC+,117
89,GLB-Class,GLB250 4MATIC,"1,061"
90,GLB-Class,GLB220,588
91,GLB-Class,GLB220,588
92,GLA-Class,GLA250 4MATIC,"1,628"
93,GLA-Class,GLA250 4MATIC,"1,628"
94,AMG GT,GT 43 4MATIC+,"1,008"
95,AMG GT, GT 63 S 4MATIC,203
96,AMG GT,GT AMG,1
97,AMG GT,GT AMG,1
98,G-Class,AMG G63,852
99,G-Class,AMG G63,852
100,EQC,EQC400 4MATIC,608
101,EQC,EQC400 4MATIC,608
102,Maybach,S560 4MATIC,333
103,Maybach,S650,55
104,Maybach,S600,23
105,Maybach,S650 Pullman,1
106,Maybach,S650 Pullman,1
107,GLE-Class,AMG GLE63 S 4MATIC Coupe,152
108,GLE-Class,AMG GLE63 S 4MATIC Coupe,152
109,GLS-Class,GLS580 4MATIC,146
110,GLS-Class,GLS580 4MATIC,146
111,GLC-Class,AMG GLC43 4MATIC,49
112,GLC-Class,AMG GLC43 4MATIC Coupe,35
113,GLC-Class,AMG GLC63 S 4MATIC Coupe,34
