,car_name,sub_name,quentity
0,Hatch,Cooper five-door,"1,100"
1,Hatch,Cooper,738
2,Hatch,Cooper S,131
3,Hatch,Cooper S five-door,129
4,Hatch,John Cooper Works,119
5,Hatch,John Cooper Works,119
6,Countryman,Cooper,951
7,Countryman,Cooper S ALL4,198
8,Countryman,Cooper D ALL4,169
9,Countryman,John Cooper Works ALL4,61
10,Countryman,Cooper SD ALL4,32
11,Countryman,Cooper SD ALL4,32
12,Clubman,Cooper,938
13,Clubman,Cooper S,130
14,Clubman,Cooper D,76
15,Clubman,John Cooper Works ALL4,74
16,Clubman,Cooper SD,6
17,Clubman,Cooper SD,6
18,Convertible,Cooper S,62
19,Convertible,John Cooper Works,41
20,Convertible,Cooper,22
21,Convertible,Cooper,22
