,car_name,sub_name,quentity
0,Hatch,Cooper five-door,"2,378"
1,Hatch,Cooper,"2,039"
2,Hatch,Cooper S five-door,367
3,Hatch,Cooper S,355
4,Hatch,John Cooper Works,256
5,Hatch,John Cooper Works,256
6,Clubman,Cooper,"1,740"
7,Clubman,Cooper D,481
8,Clubman,Cooper S,222
9,Clubman,John Cooper Works ALL4,86
10,Clubman,Cooper SD,70
11,Clubman,Cooper SD,70
12,Countryman,Cooper,"1,117"
13,Countryman,Cooper D ALL4,411
14,Countryman,Cooper S ALL4,294
15,Countryman,John Cooper Works ALL4,92
16,Countryman,Cooper SD ALL4,31
17,Countryman,Cooper SD ALL4,31
18,Countryman,Cooper,528
19,Countryman,Cooper S ALL4,108
20,Countryman,Cooper D ALL4,76
21,Countryman,John Cooper Works ALL4,50
22,Countryman,Cooper SD ALL4,21
23,Countryman,Cooper SD ALL4,21
24,Convertible,Cooper S,211
25,Convertible,Cooper,177
26,Convertible,John Cooper Works,105
27,Convertible,John Cooper Works,105
28,Clubman,2.0 Cooper S,23
29,Clubman,2.0 John Cooper Works,7
30,Clubman,2.0 John Cooper Works,7
