,car_name,sub_name,quentity
0,E-Class,E300,"13,886"
1,E-Class,E300 4MATIC,"11,430"
2,E-Class,E220d,"4,257"
3,E-Class,E220d 4MATIC,"3,865"
4,E-Class,E250,"2,370"
5,E-Class,E300e,"1,648"
6,E-Class,E350 4MATIC,"1,392"
7,E-Class,E220d Cabriolet,896
8,E-Class,E220d Coupe,873
9,E-Class,E450 4MATIC,805
10,E-Class,AMG E53 4MATIC+,288
11,E-Class,E450 4MATIC Coupe,247
12,E-Class,AMG E63 4MATIC+,79
13,E-Class,E450 4MATIC Cabriolet,75
14,E-Class,E450 Cabriolet,64
15,E-Class,E63 4MATIC+ AMG,10
16,E-Class,E400 Cabriolet,7
17,E-Class,E400 4MATIC Coupe,3
18,E-Class,E43 4MATIC AMG,2
19,E-Class,E400 4MATIC,2
20,E-Class,E200,1
21,E-Class,E200,1
22,C-Class,C200,"2,678"
23,C-Class,C220d 4MATIC,"2,341"
24,C-Class,C220d,"2,289"
25,C-Class,C350e,696
26,C-Class,C220d 4MATIC Coupe,557
27,C-Class,C200 Cabriolet,380
28,C-Class,AMG C43 4MATIC,56
29,C-Class,AMG C43 4MATIC Cabriolet,36
30,C-Class,AMG C43 4MATIC Cabriolet,36
31,GLC-Class,GLC300 4MATIC Coupe,"4,064"
32,GLC-Class,GLC300 4MATIC,"2,279"
33,GLC-Class,GLC350e 4MATIC,"1,852"
34,GLC-Class,AMG GLC43 4MATIC Coupe,211
35,GLC-Class,AMG GLC63 4MATIC+,104
36,GLC-Class,AMG GLC43 4MATIC,81
37,GLC-Class,AMG GLC63 S 4MATIC Coupe,51
38,GLC-Class,AMG GLC63 S 4MATIC Coupe,51
39,S-Class,S560 4MATIC Long,"1,828"
40,S-Class,S350 Long,"1,459"
41,S-Class,S350d 4MATIC,"1,366"
42,S-Class,S450 4MATIC Long,"1,313"
43,S-Class,S350d,828
44,S-Class,AMG S63 4MATIC+ L,283
45,S-Class,S450 4MATIC Coupe,96
46,S-Class,AMG S63 4MATIC+ Coupe,86
47,S-Class,AMG S63 4MATIC+ Cabriolet,37
48,S-Class,S560 Long,14
49,S-Class,S450 Long,5
50,S-Class,AMG S63 4MATIC Cabriolet,3
51,S-Class,S400d 4MATIC Long,2
52,S-Class,S500,2
53,S-Class,AMG S63 4MATIC Coupe,2
54,S-Class,S500 4MATIC,1
55,S-Class,AMG S65 Coupe,1
56,S-Class,AMG S65 Coupe,1
57,CLS-Class,CLS400d 4MATIC,"2,791"
58,CLS-Class,CLS300d,"1,616"
59,CLS-Class,CLS450 4MATIC,"1,336"
60,CLS-Class,AMG CLS53 4MATIC+,150
61,CLS-Class,AMG CLS53 4MATIC+,150
62,GLA-Class,GLA220,"2,738"
63,GLA-Class,AMG GLA45 4MATIC,288
64,GLA-Class,GLA250 4MATIC,236
65,GLA-Class,GLA250 4MATIC,236
66,GLE-Class,GLE450 4MATIC,"1,373"
67,GLE-Class,GLE300d 4MATIC,859
68,GLE-Class,GLE300d 4MATIC,859
69,A-Class,A200,"1,327"
70,A-Class,A200,"1,327"
71,C-Class,C220d,685
72,C-Class,C43 4MATIC AMG,94
73,C-Class,C43 4MATIC Cabriolet AMG,38
74,C-Class,C43 4MATIC Coupe AMG,15
75,C-Class,C63 AMG,10
76,C-Class,C200 Coupe,3
77,C-Class,C200 4MATIC,2
78,C-Class,C63 Cabriolet AMG,2
79,C-Class,C63 Coupe AMG,1
80,C-Class,C63 Coupe AMG,1
81,GLC-Class,GLC300 4MATIC Coupe,441
82,GLC-Class,GLC300 4MATIC,254
83,GLC-Class,AMG GLC43 4MATIC Coupe,40
84,GLC-Class,AMG GLC43 4MATIC,22
85,GLC-Class,AMG GLC63 S 4MATIC Coupe,17
86,GLC-Class,AMG GLC63 S 4MATIC+,14
87,GLC-Class,AMG GLC63 S 4MATIC+,14
88,Maybach,S560 4MATIC (2018),313
89,Maybach,S560 4MATIC,190
90,Maybach,S650,188
91,Maybach,S600,15
92,Maybach,S600,15
93,AMG GT,GT 43 4MATIC+,397
94,AMG GT, GT 63 S 4MATIC,98
95,AMG GT,GT AMG,1
96,AMG GT,GT AMG,1
97,G-Class,AMG G63,377
98,G-Class,AMG G63,377
99,SLC-Class,SLC250,104
100,SLC-Class,SLC43 AMG,2
101,SLC-Class,SLC43 AMG,2
102,CLA-Class,CLA250 4MATIC,50
103,CLA-Class,CLA 45 4MATIC AMG,42
104,CLA-Class,CLA220,8
105,CLA-Class,CLA200 CDI,2
106,CLA-Class,CLA200 CDI,2
107,GLS-Class,GLS500 4MATIC,99
108,GLS-Class,GLS500 4MATIC,99
109,GLE-Class,AMG GLE63 S 4MATIC Coupe,79
110,GLE-Class,AMG GLE63 S 4MATIC Coupe,79
111,SL-Class,SL400,50
112,SL-Class,SL63 AMG,1
113,SL-Class,SL63 AMG,1
114,EQC,EQC400 4MATIC,30
115,EQC,EQC400 4MATIC,30
116,A-Class,A200,9
117,A-Class,A45 AMG 4MATIC,6
118,A-Class,A45 AMG 4MATIC,6
119,B-class,B220,11
120,B-class,B220,11
