,car_name,sub_name,quentity
0,Hatch,Cooper five-door,"2,216"
1,Hatch,Cooper,"1,702"
2,Hatch,Cooper S,362
3,Hatch,Cooper D five-door,326
4,Hatch,Cooper D,319
5,Hatch,Cooper S five-door,310
6,Hatch,John Cooper Works,197
7,Hatch,Cooper SD,22
8,Hatch,Cooper SD five-door,20
9,Hatch,Cooper SD five-door,20
10,Countryman,Cooper,"1,532"
11,Countryman,Cooper D ALL4,508
12,Countryman,Cooper S ALL4,251
13,Countryman,John Cooper Works ALL4,73
14,Countryman,Cooper SD ALL4,37
15,Countryman,Cooper SD ALL4,37
16,Clubman,1.5 Cooper,"1,077"
17,Clubman,2.0 Cooper D,419
18,Clubman,2.0 Cooper S,192
19,Clubman,2.0 John Cooper Works,39
20,Clubman,2.0 Cooper SD,13
21,Clubman,2.0 Cooper SD,13
22,Clubman,Cooper,565
23,Clubman,Cooper S,67
24,Clubman,Cooper D,42
25,Clubman,Cooper SD,7
26,Clubman,Cooper SD,7
27,Convertible,Cooper S,230
28,Convertible,Cooper,136
29,Convertible,John Cooper Works,85
30,Convertible,John Cooper Works,85
