,car_name,sub_name,quentity
0,Tiguan,2.0 TDI,"8,631"
1,Tiguan,Allspace 2.0 TDI,"1,534"
2,Tiguan,2.0 TDI 4Motion,"1,498"
3,Tiguan,2.0 TDI 4Motion,"1,498"
4,The all new Jetta,1.4 TSI,"2,625"
5,The all new Jetta,1.4 TSI,"2,625"
6,Arteon,2.0 TDI,"2,194"
7,Arteon,2.0 TDI 4Motion,230
8,Arteon,2.0 TDI 4Motion,230
9,The new Touareg,3.0 TDI,821
10,The new Touareg,4.0 TDI,66
11,The new Touareg,4.0 TDI,66
12,The new Passat GT,2.0 TDI,15
13,The new Passat GT,2.0 TDI 4Motion,1
14,The new Passat GT,2.0 TDI 4Motion,1
